#reweighting script for hh4b analysis 
#iteration:0
0 2bs event.j1_trkdr Moriond r0_TwoTag_split_Sideband_sublHCand_trk_dr.txt 
0 2bs event.j0_trk0_pt Moriond r0_TwoTag_split_Sideband_leadHCand_trk0_Pt.txt 
0 2bs event.j0_trkdr Moriond r0_TwoTag_split_Sideband_leadHCand_trk_dr.txt 
0 2bs event.j0_pt Moriond r0_TwoTag_split_Sideband_leadHCand_Pt_m.txt 
0 2bs event.j1_trk0_pt Moriond r0_TwoTag_split_Sideband_sublHCand_trk0_Pt.txt 
0 3b event.j1_trkdr Moriond r0_ThreeTag_Sideband_sublHCand_trk_dr.txt 
0 3b event.j0_trk0_pt Moriond r0_ThreeTag_Sideband_leadHCand_trk0_Pt.txt 
0 3b event.j0_trkdr Moriond r0_ThreeTag_Sideband_leadHCand_trk_dr.txt 
0 3b event.j0_pt Moriond r0_ThreeTag_Sideband_leadHCand_Pt_m.txt 
0 3b event.j1_trk0_pt Moriond r0_ThreeTag_Sideband_sublHCand_trk0_Pt.txt 
0 4b event.j1_trkdr Moriond r0_FourTag_Sideband_sublHCand_trk_dr.txt 
0 4b event.j0_trk0_pt Moriond r0_FourTag_Sideband_leadHCand_trk0_Pt.txt 
0 4b event.j0_trkdr Moriond r0_FourTag_Sideband_leadHCand_trk_dr.txt 
0 4b event.j0_pt Moriond r0_FourTag_Sideband_leadHCand_Pt_m.txt 
0 4b event.j1_trk0_pt Moriond r0_FourTag_Sideband_sublHCand_trk0_Pt.txt 
#iteration:1
1 2bs event.j1_trkdr Moriond_j0pT-leadtrk-trkdr-fin_0 r1_TwoTag_split_Sideband_sublHCand_trk_dr.txt 
1 2bs event.j0_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_0 r1_TwoTag_split_Sideband_leadHCand_trk0_Pt.txt 
1 2bs event.j0_trkdr Moriond_j0pT-leadtrk-trkdr-fin_0 r1_TwoTag_split_Sideband_leadHCand_trk_dr.txt 
1 2bs event.j0_pt Moriond_j0pT-leadtrk-trkdr-fin_0 r1_TwoTag_split_Sideband_leadHCand_Pt_m.txt 
1 2bs event.j1_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_0 r1_TwoTag_split_Sideband_sublHCand_trk0_Pt.txt 
1 3b event.j1_trkdr Moriond_j0pT-leadtrk-trkdr-fin_0 r1_ThreeTag_Sideband_sublHCand_trk_dr.txt 
1 3b event.j0_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_0 r1_ThreeTag_Sideband_leadHCand_trk0_Pt.txt 
1 3b event.j0_trkdr Moriond_j0pT-leadtrk-trkdr-fin_0 r1_ThreeTag_Sideband_leadHCand_trk_dr.txt 
1 3b event.j0_pt Moriond_j0pT-leadtrk-trkdr-fin_0 r1_ThreeTag_Sideband_leadHCand_Pt_m.txt 
1 3b event.j1_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_0 r1_ThreeTag_Sideband_sublHCand_trk0_Pt.txt 
1 4b event.j1_trkdr Moriond_j0pT-leadtrk-trkdr-fin_0 r1_FourTag_Sideband_sublHCand_trk_dr.txt 
1 4b event.j0_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_0 r1_FourTag_Sideband_leadHCand_trk0_Pt.txt 
1 4b event.j0_trkdr Moriond_j0pT-leadtrk-trkdr-fin_0 r1_FourTag_Sideband_leadHCand_trk_dr.txt 
1 4b event.j0_pt Moriond_j0pT-leadtrk-trkdr-fin_0 r1_FourTag_Sideband_leadHCand_Pt_m.txt 
1 4b event.j1_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_0 r1_FourTag_Sideband_sublHCand_trk0_Pt.txt 
#iteration:2
2 2bs event.j1_trkdr Moriond_j0pT-leadtrk-trkdr-fin_1 r2_TwoTag_split_Sideband_sublHCand_trk_dr.txt 
2 2bs event.j0_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_1 r2_TwoTag_split_Sideband_leadHCand_trk0_Pt.txt 
2 2bs event.j0_trkdr Moriond_j0pT-leadtrk-trkdr-fin_1 r2_TwoTag_split_Sideband_leadHCand_trk_dr.txt 
2 2bs event.j0_pt Moriond_j0pT-leadtrk-trkdr-fin_1 r2_TwoTag_split_Sideband_leadHCand_Pt_m.txt 
2 2bs event.j1_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_1 r2_TwoTag_split_Sideband_sublHCand_trk0_Pt.txt 
2 3b event.j1_trkdr Moriond_j0pT-leadtrk-trkdr-fin_1 r2_ThreeTag_Sideband_sublHCand_trk_dr.txt 
2 3b event.j0_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_1 r2_ThreeTag_Sideband_leadHCand_trk0_Pt.txt 
2 3b event.j0_trkdr Moriond_j0pT-leadtrk-trkdr-fin_1 r2_ThreeTag_Sideband_leadHCand_trk_dr.txt 
2 3b event.j0_pt Moriond_j0pT-leadtrk-trkdr-fin_1 r2_ThreeTag_Sideband_leadHCand_Pt_m.txt 
2 3b event.j1_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_1 r2_ThreeTag_Sideband_sublHCand_trk0_Pt.txt 
2 4b event.j1_trkdr Moriond_j0pT-leadtrk-trkdr-fin_1 r2_FourTag_Sideband_sublHCand_trk_dr.txt 
2 4b event.j0_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_1 r2_FourTag_Sideband_leadHCand_trk0_Pt.txt 
2 4b event.j0_trkdr Moriond_j0pT-leadtrk-trkdr-fin_1 r2_FourTag_Sideband_leadHCand_trk_dr.txt 
2 4b event.j0_pt Moriond_j0pT-leadtrk-trkdr-fin_1 r2_FourTag_Sideband_leadHCand_Pt_m.txt 
2 4b event.j1_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_1 r2_FourTag_Sideband_sublHCand_trk0_Pt.txt 
#iteration:3
3 2bs event.j1_trkdr Moriond_j0pT-leadtrk-trkdr-fin_2 r3_TwoTag_split_Sideband_sublHCand_trk_dr.txt 
3 2bs event.j0_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_2 r3_TwoTag_split_Sideband_leadHCand_trk0_Pt.txt 
3 2bs event.j0_trkdr Moriond_j0pT-leadtrk-trkdr-fin_2 r3_TwoTag_split_Sideband_leadHCand_trk_dr.txt 
3 2bs event.j0_pt Moriond_j0pT-leadtrk-trkdr-fin_2 r3_TwoTag_split_Sideband_leadHCand_Pt_m.txt 
3 2bs event.j1_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_2 r3_TwoTag_split_Sideband_sublHCand_trk0_Pt.txt 
3 3b event.j1_trkdr Moriond_j0pT-leadtrk-trkdr-fin_2 r3_ThreeTag_Sideband_sublHCand_trk_dr.txt 
3 3b event.j0_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_2 r3_ThreeTag_Sideband_leadHCand_trk0_Pt.txt 
3 3b event.j0_trkdr Moriond_j0pT-leadtrk-trkdr-fin_2 r3_ThreeTag_Sideband_leadHCand_trk_dr.txt 
3 3b event.j0_pt Moriond_j0pT-leadtrk-trkdr-fin_2 r3_ThreeTag_Sideband_leadHCand_Pt_m.txt 
3 3b event.j1_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_2 r3_ThreeTag_Sideband_sublHCand_trk0_Pt.txt 
3 4b event.j1_trkdr Moriond_j0pT-leadtrk-trkdr-fin_2 r3_FourTag_Sideband_sublHCand_trk_dr.txt 
3 4b event.j0_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_2 r3_FourTag_Sideband_leadHCand_trk0_Pt.txt 
3 4b event.j0_trkdr Moriond_j0pT-leadtrk-trkdr-fin_2 r3_FourTag_Sideband_leadHCand_trk_dr.txt 
3 4b event.j0_pt Moriond_j0pT-leadtrk-trkdr-fin_2 r3_FourTag_Sideband_leadHCand_Pt_m.txt 
3 4b event.j1_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_2 r3_FourTag_Sideband_sublHCand_trk0_Pt.txt 
#iteration:4
4 2bs event.j1_trkdr Moriond_j0pT-leadtrk-trkdr-fin_3 r4_TwoTag_split_Sideband_sublHCand_trk_dr.txt 
4 2bs event.j0_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_3 r4_TwoTag_split_Sideband_leadHCand_trk0_Pt.txt 
4 2bs event.j0_trkdr Moriond_j0pT-leadtrk-trkdr-fin_3 r4_TwoTag_split_Sideband_leadHCand_trk_dr.txt 
4 2bs event.j0_pt Moriond_j0pT-leadtrk-trkdr-fin_3 r4_TwoTag_split_Sideband_leadHCand_Pt_m.txt 
4 2bs event.j1_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_3 r4_TwoTag_split_Sideband_sublHCand_trk0_Pt.txt 
4 3b event.j1_trkdr Moriond_j0pT-leadtrk-trkdr-fin_3 r4_ThreeTag_Sideband_sublHCand_trk_dr.txt 
4 3b event.j0_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_3 r4_ThreeTag_Sideband_leadHCand_trk0_Pt.txt 
4 3b event.j0_trkdr Moriond_j0pT-leadtrk-trkdr-fin_3 r4_ThreeTag_Sideband_leadHCand_trk_dr.txt 
4 3b event.j0_pt Moriond_j0pT-leadtrk-trkdr-fin_3 r4_ThreeTag_Sideband_leadHCand_Pt_m.txt 
4 3b event.j1_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_3 r4_ThreeTag_Sideband_sublHCand_trk0_Pt.txt 
4 4b event.j1_trkdr Moriond_j0pT-leadtrk-trkdr-fin_3 r4_FourTag_Sideband_sublHCand_trk_dr.txt 
4 4b event.j0_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_3 r4_FourTag_Sideband_leadHCand_trk0_Pt.txt 
4 4b event.j0_trkdr Moriond_j0pT-leadtrk-trkdr-fin_3 r4_FourTag_Sideband_leadHCand_trk_dr.txt 
4 4b event.j0_pt Moriond_j0pT-leadtrk-trkdr-fin_3 r4_FourTag_Sideband_leadHCand_Pt_m.txt 
4 4b event.j1_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_3 r4_FourTag_Sideband_sublHCand_trk0_Pt.txt 
#iteration:5
5 2bs event.j1_trkdr Moriond_j0pT-leadtrk-trkdr-fin_4 r5_TwoTag_split_Sideband_sublHCand_trk_dr.txt 
5 2bs event.j0_trk0_pt Moriond_j0pT-leadtrk-trkdr-fin_4 r5_TwoTag_split_Sideband_leadHCand_trk0_Pt.txt 
5 2bs event.j0_trkdr Moriond_j0pT-leadtrk-trkdr-fin_4 r5_TwoTag_split_Sideband_leadHCand_trk_dr.txt 
